,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active,New
27915,"Charlotte County, FL",US,26.8946,-81.9098,2020-03-20,0,0,0,0,0
27916,"Cherokee County, GA",US,34.2515,-84.4803,2020-03-20,0,0,0,0,0
27917,"Collin County, TX",US,33.1795,-96.493,2020-03-20,0,0,0,0,0
27918,"Jefferson County, KY",US,38.1938,-85.6435,2020-03-20,0,0,0,0,0
27919,"Jefferson Parish, LA",US,29.6499,-90.1121,2020-03-20,0,0,0,0,0
27920,"Shasta County, CA",US,40.7909,-121.8474,2020-03-20,0,0,0,0,0
27921,"Spartanburg County, SC",US,34.8606,-81.9535,2020-03-20,0,0,0,0,0
27922,"Harrison County, KY",US,38.4333,-84.3542,2020-03-20,0,0,0,0,0
27923,"Johnson County, IA",US,41.6699,-91.5984,2020-03-20,0,0,0,0,0
27924,"Berkshire County, MA",US,42.3118,-73.1822,2020-03-20,0,0,0,0,0
27925,"Davidson County, TN",US,36.1343,-86.822,2020-03-20,0,0,0,0,0
27926,"Douglas County, OR",US,43.1261,-123.2492,2020-03-20,0,0,0,0,0
27927,"Fresno County, CA",US,36.9859,-119.2321,2020-03-20,0,0,0,0,0
27928,"Harford County, MD",US,39.5839,-76.3637,2020-03-20,0,0,0,0,0
27929,"Hendricks County, IN",US,39.8065,-86.5401,2020-03-20,0,0,0,0,0
27930,"Hudson County, NJ",US,40.7453,-74.0535,2020-03-20,0,0,0,0,0
27931,"Johnson County, KS",US,38.8454,-94.8521,2020-03-20,0,0,0,0,0
27932,"Kittitas County, WA",US,47.175,-120.9319,2020-03-20,0,0,0,0,0
27933,"Manatee County, FL",US,27.4799,-82.3452,2020-03-20,0,0,0,0,0
27934,"Marion County, OR",US,44.8446,-122.5927,2020-03-20,0,0,0,0,0
27935,"Okaloosa County, FL",US,30.5773,-86.6611,2020-03-20,0,0,0,0,0
27936,"Polk County, GA",US,34.0132,-85.1479,2020-03-20,0,0,0,0,0
27937,"Riverside County, CA",US,33.9533,-117.3961,2020-03-20,0,0,0,0,0
27938,"Shelby County, TN",US,35.1269,-89.9253,2020-03-20,0,0,0,0,0
27939,"St. Louis County, MO",US,38.6103,-90.4125,2020-03-20,0,0,0,0,0
27940,"Suffolk County, NY",US,40.9849,-72.6151,2020-03-20,0,0,0,0,0
27941,"Ulster County, NY",US,41.8586,-74.3118,2020-03-20,0,0,0,0,0
27942,"Volusia County, FL",US,29.028000000000002,-81.0755,2020-03-20,0,0,0,0,0
27943,"Fairfax County, VA",US,38.9085,-77.2405,2020-03-20,0,0,0,0,0
27944,"Rockingham County, NH",US,42.9931,-71.0498,2020-03-20,0,0,0,0,0
27945,"Washington, D.C.",US,38.9072,-77.0369,2020-03-20,0,0,0,0,0
27946,"Montgomery County, PA",US,40.229,-75.3879,2020-03-20,0,0,0,0,0
27947,"Alameda County, CA",US,37.6017,-121.7195,2020-03-20,0,0,0,0,0
27948,"Broward County, FL",US,26.1901,-80.3659,2020-03-20,0,0,0,0,0
27949,"Lee County, FL",US,26.663,-81.9535,2020-03-20,0,0,0,0,0
27950,"Pinal County, AZ",US,32.8162,-111.2845,2020-03-20,0,0,0,0,0
27951,"Rockland County, NY",US,41.1489,-73.983,2020-03-20,0,0,0,0,0
27952,"Saratoga County, NY",US,43.0324,-73.936,2020-03-20,0,0,0,0,0
27953,"Charleston County, SC",US,32.7957,-79.7848,2020-03-20,0,0,0,0,0
27954,"Clark County, WA",US,45.7466,-122.5194,2020-03-20,0,0,0,0,0
27955,"Cobb County, GA",US,33.8999,-84.5641,2020-03-20,0,0,0,0,0
27956,"Davis County, UT",US,40.9629,-112.0953,2020-03-20,0,0,0,0,0
27957,"El Paso County, CO",US,38.9108,-104.4723,2020-03-20,0,0,0,0,0
27958,"Honolulu County, HI",US,21.307,-157.8584,2020-03-20,0,0,0,0,0
27959,"Jackson County, OR ",US,42.3345,-122.7647,2020-03-20,0,0,0,0,0
27960,"Jefferson County, WA",US,47.7425,-123.304,2020-03-20,0,0,0,0,0
27961,"Kershaw County, SC",US,34.3672,-80.5883,2020-03-20,0,0,0,0,0
27962,"Klamath County, OR",US,42.6953,-121.6142,2020-03-20,0,0,0,0,0
27963,"Madera County, CA",US,37.2519,-119.6963,2020-03-20,0,0,0,0,0
27964,"Pierce County, WA",US,47.0676,-122.1295,2020-03-20,0,0,0,0,0
27965,"Tulsa County, OK",US,36.1593,-95.941,2020-03-20,0,0,0,0,0
27966,"Douglas County, CO",US,39.2587,-104.9389,2020-03-20,0,0,0,0,0
27967,"Providence County, RI",US,41.8882,-71.4774,2020-03-20,0,0,0,0,0
27968,"Chatham County, NC",US,35.7211,-79.1781,2020-03-20,0,0,0,0,0
27969,"Delaware County, PA",US,39.9078,-75.3879,2020-03-20,0,0,0,0,0
27970,"Douglas County, NE",US,41.3148,-96.1951,2020-03-20,0,0,0,0,0
27971,"Fayette County, KY",US,38.0606,-84.4803,2020-03-20,0,0,0,0,0
27972,"Marion County, IN",US,39.8362,-86.1752,2020-03-20,0,0,0,0,0
27973,"Middlesex County, MA",US,42.4672,-71.2874,2020-03-20,0,0,0,0,0
