,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active
15840,Abu Dhabi,United Arab Emirates,24.0,54.0,2020-03-25,333.0,2.0,52.0,279.0
15841,Bermuda,United Kingdom,32.3078,-64.7505,2020-03-25,7.0,0.0,0.0,7.0
15842,Cayman Islands,United Kingdom,19.3133,-81.2546,2020-03-25,8.0,1.0,0.0,7.0
15843,Channel Islands,United Kingdom,49.3723,-2.3644,2020-03-25,46.0,0.0,0.0,46.0
15844,Gibraltar,United Kingdom,36.1408,-5.3536,2020-03-25,26.0,0.0,5.0,21.0
15845,Isle of Man,United Kingdom,54.2361,-4.5481,2020-03-25,23.0,0.0,0.0,23.0
15846,Montserrat,United Kingdom,16.7425,-62.1874,2020-03-25,1.0,0.0,0.0,1.0
15847,London,United Kingdom,55.3781,-3.4360000000000004,2020-03-25,9529.0,465.0,135.0,8929.0
15848,Montevideo,Uruguay,-32.5228,-55.7658,2020-03-25,189.0,0.0,0.0,189.0
15849,TBF,US,37.0902,-95.7129,2020-03-25,65778.0,942.0,361.0,64475.0
15850,Tashkent,Uzbekistan,41.3775,64.5853,2020-03-25,60.0,0.0,0.0,60.0
15851,Caracas,Venezuela,6.4238,-66.5897,2020-03-25,91.0,0.0,15.0,76.0
15852,Hanoi,Vietnam,16.0,108.0,2020-03-25,141.0,0.0,17.0,124.0
15853,Lusaka,Zambia,-15.4167,28.2833,2020-03-25,12.0,0.0,0.0,12.0
15854,Harare,Zimbabwe,-20.0,30.0,2020-03-25,3.0,1.0,0.0,2.0
15855,Diamond Princess,Canada,0.0,0.0,2020-03-25,0.0,1.0,,
15856,Roseau,Dominica,15.415,-61.371,2020-03-25,7.0,0.0,0.0,7.0
15857,St. George's,Grenada,12.1165,-61.679,2020-03-25,1.0,0.0,0.0,1.0
15858,Maputo,Mozambique,-18.665695,35.529562,2020-03-25,5.0,0.0,,
15859,Damascus,Syria,34.802075,38.99681500000001,2020-03-25,5.0,0.0,,
15860,TBF,Timor-Leste,-8.874217,125.727539,2020-03-25,1.0,0.0,,
15861,Belmopan,Belize,13.1939,-59.5432,2020-03-25,2.0,0.0,0.0,2.0
15862,Recovered,Canada,0.0,0.0,2020-03-25,0.0,0.0,,
15863,Vientiane,Laos,19.85627,102.495496,2020-03-25,3.0,0.0,0.0,3.0
15864,Tripoli,Libya,26.3351,17.228331,2020-03-25,1.0,0.0,0.0,1.0
15865,TBF,West Bank and Gaza,31.9522,35.2332,2020-03-25,59.0,0.0,17.0,42.0
15866,Bissau,Guinea-Bissau,11.8037,-15.1804,2020-03-25,2.0,0.0,0.0,2.0
15867,Bamako,Mali,17.570692,-3.996166000000001,2020-03-25,2.0,0.0,0.0,2.0
15868,Basseterre,Saint Kitts and Nevis,17.357822,-62.782998,2020-03-25,2.0,0.0,0.0,2.0
15869,Northwest Territories,Canada,64.8255,-124.8457,2020-03-25,0.0,0.0,,
15870,Yukon,Canada,64.2823,-135.0,2020-03-25,0.0,0.0,,
15871,Pristina,Kosovo,42.602636,20.902977,2020-03-25,0.0,0.0,0.0,0.0
